"ekonomisk indikator"	"2019M01"	"2019M02"	"2019M03"	"2019M04"	"2019M05"	"2019M06"	"2019M07"	"2019M08"	"2019M09"
"Utlåning till hushåll"	5.4	5.2	5.0	5.0	5.0	4.9	4.9	4.9	4.8
"M1"	6.6	7.5	7.1	6.0	7.3	6.8	7.9	8.0	8.1
