"dödsorsak"	"kön"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"
"självmord"	"män"	1020	1036	936	956	929	936	872
"självmord"	"kvinnor"	451	447	419	417	395	412	381
